Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100n","C_0402_1005Metric",201.240635,-81.001362,-45.000000,bottom
"C2","100n","C_0402_1005Metric",208.485866,-92.707094,135.000000,bottom
"C3","1u","C_0402_1005Metric",198.341489,-85.173294,-45.000000,bottom
"C4","4u7","C_0603_1608Metric",197.422272,-88.496669,45.000000,bottom
"C5","1u","C_0402_1005Metric",197.634385,-85.880397,-45.000000,bottom
"C6","100n","C_0402_1005Metric",199.826414,-82.415579,-45.000000,bottom
"C7","100n","C_0402_1005Metric",200.533529,-81.708469,-45.000000,bottom
"C8","100n","C_0402_1005Metric",206.119663,-81.779184,-135.000000,bottom
"C9","100n","C_0402_1005Metric",210.400001,-83.161606,-135.000000,bottom
"C10","100n","C_0402_1005Metric",209.192967,-91.999984,135.000000,bottom
"C11","100n","C_0402_1005Metric",200.887098,-92.668598,45.000000,bottom
"C12","100n","C_0402_1005Metric",197.987959,-89.769465,45.000000,bottom
"C13","100n","C_0402_1005Metric",189.200004,-103.361607,90.000000,bottom
"C14","100n","C_0402_1005Metric",202.018443,-79.657862,45.000000,bottom
"C15","30p","C_0402_1005Metric",215.665632,-88.496678,135.000000,bottom
"C16","100n","C_0402_1005Metric",188.000003,-90.061609,90.000000,bottom
"C17","30p","C_0402_1005Metric",213.120045,-92.456466,135.000000,bottom
"C18","470n","C_0603_1608Metric",192.189668,-86.658209,45.000000,bottom
"C19","10n","C_0402_1005Metric",196.927279,-86.587504,-45.000000,bottom
"C20","1u","C_0402_1005Metric",196.220173,-87.294614,-45.000000,bottom
"C21","100n","C_0402_1005Metric",208.300006,-76.861608,90.000000,bottom
"C22","10n","C_0402_1005Metric",194.000004,-76.061606,90.000000,bottom
"C23","1u","C_0603_1608Metric",191.799999,-76.261606,0.000000,bottom
"C24","10n","C_0402_1005Metric",222.000004,-114.761608,0.000000,bottom
"C25","10n","C_0402_1005Metric",219.800006,-114.761608,180.000000,bottom
"C26","100n","C_0402_1005Metric",167.992965,-93.799989,180.000000,bottom
"C27","100n","C_0402_1005Metric",228.100002,-82.161603,0.000000,bottom
"C28","100n","C_0402_1005Metric",185.200010,-73.161598,90.000000,bottom
"C29","100n","C_0402_1005Metric",187.500005,-77.861606,180.000000,bottom
"C30","100n","C_0402_1005Metric",182.600000,-77.761612,0.000000,bottom
"C31","1u","C_0402_1005Metric",186.599994,-79.561618,90.000000,bottom
"C32","47u","C_1206_3216Metric",173.400002,-105.761599,180.000000,bottom
"C33","47u","C_1206_3216Metric",173.400007,-108.161605,180.000000,bottom
"C34","47u","C_1206_3216Metric",173.400003,-110.561604,180.000000,bottom
"C35","1u","C_0402_1005Metric",186.100001,-96.561610,90.000000,bottom
"C36","1u","C_0402_1005Metric",191.300002,-97.561607,90.000000,bottom
"C37","100n","C_0402_1005Metric",69.683091,-90.005128,165.000000,bottom
"C38","100n","C_0402_1005Metric",88.700279,-92.635525,165.000000,bottom
"C39","100n","C_0402_1005Metric",108.333793,-92.965824,165.000000,bottom
"C40","100n","C_0402_1005Metric",127.761868,-94.062787,165.000000,bottom
"C41","100n","C_0402_1005Metric",145.135559,-102.826807,165.000000,bottom
"C42","100n","C_0402_1005Metric",162.714699,-110.824120,165.000000,bottom
"C43","100n","C_0402_1005Metric",148.487279,-125.284540,-15.000000,bottom
"C44","100n","C_0402_1005Metric",130.908145,-117.287198,-15.000000,bottom
"C45","100n","C_0402_1005Metric",113.534455,-108.523207,-15.000000,bottom
"C46","100n","C_0402_1005Metric",94.106359,-107.426201,-15.000000,bottom
"C47","100n","C_0402_1005Metric",74.472862,-107.095926,-15.000000,bottom
"C48","100n","C_0402_1005Metric",55.455666,-104.465539,-15.000000,bottom
"C49","100n","C_0402_1005Metric",59.822063,-126.806917,165.000000,bottom
"C50","100n","C_0402_1005Metric",78.839274,-129.437282,165.000000,bottom
"C51","100n","C_0402_1005Metric",98.472794,-129.767569,165.000000,bottom
"C52","100n","C_0402_1005Metric",117.900841,-130.864556,165.000000,bottom
"C53","100n","C_0402_1005Metric",135.274580,-139.628620,165.000000,bottom
"C54","100n","C_0402_1005Metric",152.853691,-147.625916,165.000000,bottom
"C55","100n","C_0402_1005Metric",138.626275,-162.086302,-15.000000,bottom
"C56","100n","C_0402_1005Metric",121.047151,-154.088969,-15.000000,bottom
"C57","100n","C_0402_1005Metric",103.673447,-145.324933,-15.000000,bottom
"C58","100n","C_0402_1005Metric",84.245369,-144.227973,-15.000000,bottom
"C59","100n","C_0402_1005Metric",64.611843,-143.897684,-15.000000,bottom
"C60","100n","C_0402_1005Metric",45.594665,-141.267310,-15.000000,bottom
"C61","100n","C_0402_1005Metric",49.961075,-163.608684,165.000000,bottom
"C62","100n","C_0402_1005Metric",68.978268,-166.239077,165.000000,bottom
"C63","100n","C_0402_1005Metric",88.611776,-166.569352,165.000000,bottom
"C64","100n","C_0402_1005Metric",118.047291,-179.387076,165.000000,bottom
"C65","100n","C_0402_1005Metric",135.919644,-188.202863,150.000000,bottom
"C66","100n","C_0402_1005Metric",150.901319,-201.343948,135.000000,bottom
"C67","100n","C_0402_1005Metric",176.936674,-195.127750,150.000000,bottom
"C68","100n","C_0402_1005Metric",202.992938,-199.429999,180.000000,bottom
"C69","100n","C_0402_1005Metric",227.709458,-190.127747,-150.000000,bottom
"C70","100n","C_0402_1005Metric",202.992934,-218.479989,180.000000,bottom
"C71","100n","C_0402_1005Metric",252.155650,-194.272873,-135.000000,bottom
"C72","100n","C_0402_1005Metric",268.726511,-183.202848,-150.000000,bottom
"C73","100n","C_0402_1005Metric",287.597861,-176.798887,-165.000000,bottom
"C74","100n","C_0402_1005Metric",317.033371,-163.981179,-165.000000,bottom
"C75","100n","C_0402_1005Metric",336.666900,-163.650894,-165.000000,bottom
"C76","100n","C_0402_1005Metric",355.684081,-161.020484,-165.000000,bottom
"C77","100n","C_0402_1005Metric",340.731969,-143.855521,15.000000,bottom
"C78","100n","C_0402_1005Metric",321.714790,-146.485903,15.000000,bottom
"C79","100n","C_0402_1005Metric",302.081274,-146.816206,15.000000,bottom
"C80","100n","C_0402_1005Metric",282.653199,-147.913146,15.000000,bottom
"C81","100n","C_0402_1005Metric",265.279498,-156.677202,15.000000,bottom
"C82","100n","C_0402_1005Metric",247.700359,-164.674509,15.000000,bottom
"C83","100n","C_0402_1005Metric",252.791462,-145.037719,-165.000000,bottom
"C84","100n","C_0402_1005Metric",270.370608,-137.040408,-165.000000,bottom
"C85","100n","C_0402_1005Metric",287.744284,-128.276366,-165.000000,bottom
"C86","100n","C_0402_1005Metric",307.172368,-127.179399,-165.000000,bottom
"C87","100n","C_0402_1005Metric",326.805886,-126.849108,-165.000000,bottom
"C88","100n","C_0402_1005Metric",345.823072,-124.218714,-165.000000,bottom
"C89","100n","C_0402_1005Metric",330.870956,-107.053727,15.000000,bottom
"C90","100n","C_0402_1005Metric",311.853777,-109.684129,15.000000,bottom
"C91","100n","C_0402_1005Metric",292.220259,-110.014424,15.000000,bottom
"C92","100n","C_0402_1005Metric",272.792180,-111.111384,15.000000,bottom
"C93","100n","C_0402_1005Metric",255.418503,-119.875430,15.000000,bottom
"C94","100n","C_0402_1005Metric",237.839349,-127.872745,15.000000,bottom
"C95","100n","C_0402_1005Metric",242.930467,-108.235951,-165.000000,bottom
"C96","100n","C_0402_1005Metric",260.509592,-100.238647,-165.000000,bottom
"C97","100n","C_0402_1005Metric",277.883297,-91.474599,-165.000000,bottom
"C98","100n","C_0402_1005Metric",297.311363,-90.377641,-165.000000,bottom
"C99","100n","C_0402_1005Metric",316.944881,-90.047350,-165.000000,bottom
"C100","100n","C_0402_1005Metric",335.962076,-87.416945,-165.000000,bottom
"D1","SK6812MINI-E","YS-SK6812MINI-E",65.034631,-88.034883,-15.000000,bottom
"D2","SK6812MINI-E","YS-SK6812MINI-E",84.051831,-90.665285,-15.000000,bottom
"D3","SK6812MINI-E","YS-SK6812MINI-E",103.685333,-90.995576,-15.000000,bottom
"D4","SK6812MINI-E","YS-SK6812MINI-E",123.113407,-92.092538,-15.000000,bottom
"D5","SK6812MINI-E","YS-SK6812MINI-E",140.487117,-100.856563,-15.000000,bottom
"D6","SK6812MINI-E","YS-SK6812MINI-E",158.066231,-108.853889,-15.000000,bottom
"D7","SK6812MINI-E","YS-SK6812MINI-E",60.104125,-106.435780,165.000000,bottom
"D8","SK6812MINI-E","YS-SK6812MINI-E",79.121316,-109.066165,165.000000,bottom
"D9","SK6812MINI-E","YS-SK6812MINI-E",98.754820,-109.396449,165.000000,bottom
"D10","SK6812MINI-E","YS-SK6812MINI-E",118.182912,-110.493443,165.000000,bottom
"D11","SK6812MINI-E","YS-SK6812MINI-E",135.556602,-119.257441,165.000000,bottom
"D12","SK6812MINI-E","YS-SK6812MINI-E",153.135741,-127.254788,165.000000,bottom
"D13","SK6812MINI-E","YS-SK6812MINI-E",55.173608,-124.836668,-15.000000,bottom
"D14","SK6812MINI-E","YS-SK6812MINI-E",74.190819,-127.467036,-15.000000,bottom
"D15","SK6812MINI-E","YS-SK6812MINI-E",93.824329,-127.797329,-15.000000,bottom
"D16","SK6812MINI-E","YS-SK6812MINI-E",113.252386,-128.894310,-15.000000,bottom
"D17","SK6812MINI-E","YS-SK6812MINI-E",130.626122,-137.658376,-15.000000,bottom
"D18","SK6812MINI-E","YS-SK6812MINI-E",148.205238,-145.655668,-15.000000,bottom
"D19","SK6812MINI-E","YS-SK6812MINI-E",50.243127,-143.237563,165.000000,bottom
"D20","SK6812MINI-E","YS-SK6812MINI-E",69.260301,-145.867944,165.000000,bottom
"D21","SK6812MINI-E","YS-SK6812MINI-E",88.893818,-146.198236,165.000000,bottom
"D22","SK6812MINI-E","YS-SK6812MINI-E",108.321905,-147.295193,165.000000,bottom
"D23","SK6812MINI-E","YS-SK6812MINI-E",125.695613,-156.059219,165.000000,bottom
"D24","SK6812MINI-E","YS-SK6812MINI-E",143.274731,-164.056564,165.000000,bottom
"D25","SK6812MINI-E","YS-SK6812MINI-E",45.312613,-161.638444,-15.000000,bottom
"D26","SK6812MINI-E","YS-SK6812MINI-E",64.329813,-164.268837,-15.000000,bottom
"D27","SK6812MINI-E","YS-SK6812MINI-E",83.963323,-164.599099,-15.000000,bottom
"D28","SK6812MINI-E","YS-SK6812MINI-E",113.398826,-177.416836,-15.000000,bottom
"D29","SK6812MINI-E","YS-SK6812MINI-E",131.939520,-185.096645,-30.000000,bottom
"D30","SK6812MINI-E","YS-SK6812MINI-E",147.860761,-197.313431,-45.000000,bottom
"D31","SK6812MINI-E","YS-SK6812MINI-E",330.951278,-88.034893,15.000000,bottom
"D32","SK6812MINI-E","YS-SK6812MINI-E",311.934081,-90.665295,15.000000,bottom
"D33","SK6812MINI-E","YS-SK6812MINI-E",292.300562,-90.995586,15.000000,bottom
"D34","SK6812MINI-E","YS-SK6812MINI-E",272.872486,-92.092551,15.000000,bottom
"D35","SK6812MINI-E","YS-SK6812MINI-E",255.498783,-100.856595,15.000000,bottom
"D36","SK6812MINI-E","YS-SK6812MINI-E",237.919659,-108.853896,15.000000,bottom
"D37","SK6812MINI-E","YS-SK6812MINI-E",335.881763,-106.435779,-165.000000,bottom
"D38","SK6812MINI-E","YS-SK6812MINI-E",316.864588,-109.066166,-165.000000,bottom
"D39","SK6812MINI-E","YS-SK6812MINI-E",297.231074,-109.396467,-165.000000,bottom
"D40","SK6812MINI-E","YS-SK6812MINI-E",277.802978,-110.493431,-165.000000,bottom
